started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-01-01 15:47:09.796000+00:00,2023-01-01 16:08:53.796000+00:00,1304,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863,603,Frogner plass,i rundkjøringen,59.9225392,10.7045406
2023-01-01 15:47:10.921000+00:00,2023-01-01 15:53:19.532000+00:00,368,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,391,St. Hanshaugen park vest,ved busstoppet Colletts gate,59.9268706,10.7384634
2023-01-01 15:47:12.339000+00:00,2023-01-01 16:08:16.473000+00:00,1264,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863,603,Frogner plass,i rundkjøringen,59.9225392,10.7045406
2023-01-01 15:51:04.751000+00:00,2023-01-01 15:58:56.181000+00:00,471,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618,737,Munkegata,langs Oslo gate,59.908255,10.7678
2023-01-01 16:17:34.692000+00:00,2023-01-01 16:28:09.245000+00:00,634,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509
2023-01-01 16:23:41.155000+00:00,2023-01-01 17:23:11.894000+00:00,3570,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613
2023-01-01 16:27:08.299000+00:00,2023-01-01 16:34:48.735000+00:00,460,597,Fredensborg,ved rundkjøringen,59.920995,10.750358,390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745
2023-01-01 16:31:00.100000+00:00,2023-01-01 16:35:03.951000+00:00,243,448,Oslo Plaza,ved rundkjøringen,59.91218291295141,10.7544337247013,440,Lakkegata,ved Sundtkvartalet,59.9172088,10.7622135
2023-01-01 16:31:49.705000+00:00,2023-01-01 16:41:36.004000+00:00,586,2315,Rostockgata,utenfor Bjørvika visningssenter,59.90691970255054,10.760311802881915,2315,Rostockgata,utenfor Bjørvika visningssenter,59.90691970255054,10.760311802881915
2023-01-01 16:59:05.047000+00:00,2023-01-01 17:03:25.065000+00:00,260,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641,514,Sofienberggata,ved Sars gate,59.9212063,10.7699892
